id,name,level
FR-01,Ain,metropolitan department
FR-02,Aisne,metropolitan department
FR-03,Allier,metropolitan department
FR-06,Alpes-Maritimes,metropolitan department
FR-04,Alpes-de-Haute-Provence,metropolitan department
FR-A,Alsace,metropolitan regions
FR-B,Aquitaine,metropolitan regions
FR-08,Ardennerna,metropolitan department
FR-07,Ardèche,metropolitan department
FR-09,Ariège,metropolitan department
FR-10,Aube,metropolitan department
FR-11,Aude,metropolitan department
FR-12,Aveyron,metropolitan department
FR-67,Bas-Rhin,metropolitan department
FR-13,Bouches-du-Rhône,metropolitan department
FR-14,Calvados,metropolitan department
FR-15,Cantal,metropolitan department
FR-F,Center,metropolitan regions
FR-G,Champagne-Ardenne,metropolitan regions
FR-16,Charente,metropolitan department
FR-17,Charente-Maritime,metropolitan department
FR-18,Cher,metropolitan department
FR-CP,Clippertonön,dependency
FR-19,Corrèze,metropolitan department
FR-2A,Corse-du-Sud,metropolitan department
FR-H,Korsika,metropolitan regions
FR-23,Creuse,metropolitan department
FR-21,Côte-d’Or,metropolitan department
FR-79,Deux-Sèvres,metropolitan department
FR-24,Dordogne,metropolitan department
FR-25,Doubs,metropolitan department
FR-26,Drôme,metropolitan department
FR-91,Essonne,metropolitan department
FR-27,Eure,metropolitan department
FR-28,Eure-et-Loir,metropolitan department
FR-29,Finistère,metropolitan department
FR-I,Franche-Comté,metropolitan regions
FR-30,Gard,metropolitan department
FR-32,Gers,metropolitan department
FR-33,Gironde,metropolitan department
FR-GP,Guadeloupe,overseas regions
FR-68,Haut-Rhin,metropolitan department
FR-2B,Haute-Corse,metropolitan department
FR-31,Haute-Garonne,metropolitan department
FR-P,Basse-Normandie,metropolitan regions
FR-GF,Franska Guyana,overseas regions
FR-43,Haute-Loire,metropolitan department
FR-52,Haute-Marne,metropolitan department
FR-74,Haute-Savoie,metropolitan department
FR-70,Haute-Saône,metropolitan department
FR-87,Haute-Vienne,metropolitan department
FR-05,Hautes-Alpes,metropolitan department
FR-65,Hautes-Pyrénées,metropolitan department
FR-92,Hauts-de-Seine,metropolitan department
FR-34,Hérault,metropolitan department
FR-35,Ille-et-Vilaine,metropolitan department
FR-36,Indre,metropolitan department
FR-37,Indre-et-Loire,metropolitan department
FR-38,Isère,metropolitan department
FR-39,Jura,metropolitan department
FR-K,Languedoc-Roussillon,metropolitan regions
FR-L,Limousin,metropolitan regions
FR-41,Loir-et-Cher,metropolitan department
FR-42,Loire,metropolitan department
FR-44,Loire-Atlantique,metropolitan department
FR-45,Loiret,metropolitan department
FR-46,Lot,metropolitan department
FR-47,Lot-et-Garonne,metropolitan department
FR-48,Lozère,metropolitan department
FR-49,Maine-et-Loire,metropolitan department
FR-50,Manche,metropolitan department
FR-51,Marne,metropolitan department
FR-MQ,Martinique,overseas regions
FR-53,Mayenne,metropolitan department
FR-YT,Mayotte,territorial collectivity
FR-54,Meurthe-et-Moselle,metropolitan department
FR-55,Meuse,metropolitan department
FR-N,Midi-Pyrénées,metropolitan regions
FR-56,Morbihan,metropolitan department
FR-57,Moselle,metropolitan department
FR-58,Nièvre,metropolitan department
FR-59,Nord,metropolitan department
FR-O,Nord-Pas-de-Calais,metropolitan regions
FR-60,Oise,metropolitan department
FR-61,Orne,metropolitan department
FR-75,Paris,metropolitan department
FR-62,Pas-de-Calais,metropolitan department
FR-R,Pays de la Loire,metropolitan regions
FR-S,Picardie,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Haute-Normandie,metropolitan regions
FR-PF,Franska Polynesien,overseas territory
FR-NC,Nya Kaledonien,overseas territory
FR-RE,Réunion,overseas regions
FR-63,Puy-de-Dôme,metropolitan department
FR-64,Pyrénées-Atlantiques,metropolitan department
FR-66,Pyrénées-Orientales,metropolitan department
FR-69,Rhône,metropolitan department
FR-V,Rhône-Alpes,metropolitan regions
FR-72,Sarthe,metropolitan department
FR-73,Savoie,metropolitan department
FR-71,Saône-et-Loire,metropolitan department
FR-76,Seine-Maritime,metropolitan department
FR-93,Seine-Saint-Denis,metropolitan department
FR-77,Seine-et-Marne,metropolitan department
FR-80,Somme,metropolitan department
FR-82,Tarn-et-Garonne,metropolitan department
FR-90,Territoire de Belfort,metropolitan department
FR-94,Val-de-Marne,metropolitan department
FR-83,Var,metropolitan department
FR-84,Vaucluse,metropolitan department
FR-85,Vendée,metropolitan department
FR-86,Vienne,metropolitan department
FR-88,Vosges,metropolitan department
FR-89,Yonne,metropolitan department
FR-78,Yvelines,metropolitan department
FR-BL,Saint-Barthélemy,overseas territorial collectivity
FR-PM,Saint-Pierre och Miquelon,territorial collectivity
FR-WF,Wallis- och Futunaöarna,overseas territory
