id,name,level
NO-02,Akershus fylke,county
NO-09,Aust-Agder fylke,county
NO-06,Buskerud fylke,county
NO-20,Finnmark fylke,county
NO-04,Hedmark fylke,county
NO-12,Hordaland fylke,county
NO-22,Jan Mayen,
NO-15,Møre og Romsdal fylke,county
NO-17,Nord-Trøndelag fylke,county
NO-18,Nordland fylke,county
NO-05,Oppland fylke,county
NO-03,Oslo,county
NO-11,Rogaland fylke,county
NO-14,Sogn og Fjordane fylke,county
NO-21,Svalbard,
NO-16,Sør-Trøndelag fylke,county
NO-08,Telemark fylke,county
NO-19,Troms fylke,county
NO-10,Vest-Agder fylke,county
NO-07,Vestfold fylke,county
NO-01,Østfold fylke,county
