id,name,level
PL-WP,Storpolens vojvodskap,voivodship
PL-KP,Kujavien-Pommerns vojvodskap,voivodship
PL-MA,Lillpolens vojvodskap,voivodship
PL-DS,Nedre Schlesiens vojvodskap,voivodship
PL-LU,Lublins vojvodskap,voivodship
PL-LB,Lubusz vojvodskap,voivodship
PL-MZ,Masoviens vojvodskap,voivodship
PL-OP,Opole vojvodskap,voivodship
PL-PK,Nedre Karpaternas vojvodskap,voivodship
PL-PD,Podlasiens vojvodskap,voivodship
PL-PM,Pommerns vojvodskap,voivodship
PL-SL,Schlesiens vojvodskap,voivodship
PL-WN,Ermland-Masuriens vojvodskap,voivodship
PL-ZP,Västpommerns vojvodskap,voivodship
PL-SK,Święty Krzyż vojvodskap,voivodship
