id,name,level
UA-71,Tjerkasy oblast,region
UA-74,Tjernihiv oblast,region
UA-77,Tjernivtsi oblast,region
UA-43,Krim,autonomous republic
UA-12,Dnipropetrovsk oblast,region
UA-14,Donetsk oblast,region
UA-26,Ivano-Frankivsk oblast,region
UA-63,Charkiv oblast,region
UA-65,Cherson oblast,region
UA-68,Chmelnytskyj oblast,region
UA-30,Kiev,region
UA-32,Kiev oblast,region
UA-35,Kirovohrad oblast,region
UA-09,Luhansk oblast,region
UA-46,Lviv oblast,region
UA-48,Mykolajiv oblast,region
UA-51,Odessa oblast,region
UA-53,Poltava oblast,region
UA-56,Rivne oblast,region
UA-40,Sevastopol,region
UA-59,Sumy oblast,region
UA-61,Ternopil oblast,region
UA-05,Vinnytsia oblast,region
UA-07,Volyn oblast,region
UA-21,Zakarpattia oblast,region
UA-23,Zaporizjzja oblast,region
UA-18,Zjytomyr oblast,region
