A Coruña (ES-C)
Albacete (ES-AB)
Alicante (ES-A)
Almería (ES-AL)
Andalusien (ES-AN)
Asturien (ES-AS)
Badajoz (ES-BA)
Balearerna (ES-IB)
Barcelona (ES-B)
Burgos (ES-BU)
Cádiz (ES-CA)
Kantabrien (ES-S)
Kastilien-La Mancha (ES-CM)
Kastilien och León (ES-CL)
Katalonien (ES-CT)
Ceuta (ES-CE)
Ciudad Real (ES-CR)
Cuenca (ES-CU)
Córdoba (ES-CO)
Extremadura (ES-EX)
Galicia (ES-GA)
Guipúzcoa (ES-SS)
Girona (ES-GI)
Granada (ES-GR)
Guadalajara (ES-GU)
Huelva (ES-H)
Huesca (ES-HU)
Las Palmas de Gran Canaria (ES-GC)
Leon (ES-LE)
Lleida (ES-L)
Lugo (ES-LU)
Madrid (ES-MD)
Melilla (ES-ML)
Murcia (ES-MC)
Málaga (ES-MA)
Navarra (ES-NC)
Ourense (ES-OR)
Palencia (ES-P)
Pontevedra (ES-PO)
Salamanca (ES-SA)
Santa Cruz de Tenerife (ES-TF)
Segovia (ES-SG)
Sevilla (ES-SE)
Tarragona (ES-T)
Teruel (ES-TE)
Toledo (ES-TO)
Valencia (ES-V)
Valencia (ES-VC)
Valladolid (ES-VA)
Zamora (ES-ZA)
Zaragoza (ES-Z)
Álava (ES-VI)
Avila (ES-AV)
