country,id,name,level
AD,AD-07,Андорра-ла-Велья,parish
AD,AD-08,Ескальдес-Енгордань,parish
AD,AD-05,Ордіно,parish
AD,AD-06,Сант-Жулія-де-Лорія,parish
AT,AT-1,Бургенланд,state
AT,AT-3,Нижня Австрія,state
AT,AT-5,Зальцбург,state
AT,AT-6,Штирія,state
AT,AT-7,Тіроль,state
AT,AT-4,Верхня Австрія,state
AT,AT-9,Відень,state
AT,AT-8,Форарльберг,state
BY,BY-HM,Мінськ,city
BE,BE-VAN,Антверпен,province
BE,BE-BRU,Брюссельський столичний регіон,capital region
BE,BE-VOV,Східна Фландрія,province
BE,BE-VBR,Фламандський Брабант,province
BE,BE-VLI,Лімбург,province
BE,BE-WLG,Льєж,province
BE,BE-WLX,Люксембург,province
BE,BE-WAL,Валлонія,region
BE,BE-WBR,Валлонський Брабант,province
BE,BE-VWV,Західна Фландрія,province
CA,CA-AB,Альберта,province
CA,CA-BC,Британська Колумбія,province
CA,CA-MB,Манітоба,province
CA,CA-NB,Нью-Брансвік,province
CA,CA-NL,Ньюфаундленд і Лабрадор,province
CA,CA-NT,Північно-західні території,territory
CA,CA-NS,Нова Шотландія,province
CA,CA-NU,Нунавут,territory
CA,CA-ON,Онтаріо,province
CA,CA-PE,Острів Принца Едварда,province
CA,CA-QC,Квебек,province
CA,CA-SK,Саскачеван,province
CA,CA-YT,Юкон,territory
CL,CL-AN,Антофаґаста,region
CL,CL-AP,XV Регіон Аріка-і-Парінакота,region
CL,CL-AT,Атакама,region
CL,CL-AI,XI Регіон Айсен,region
CL,CL-CO,Кокімбо,region
CL,CL-MA,Магальянес,region
CL,CL-RM,Столичний Регіон Сантьяго,region
CL,CL-VS,Вальпараїсо,region
DK,DK-070,Орхус,county
DK,DK-040,Борнгольм,county
DK,DK-015,Копенгаген,county
DK,DK-042,Фюн,county
DK,DK-025,Роскілле,county
DK,DK-85,Зеландія,region
EE,EE-39,Хіюмаа,county
EE,EE-44,Іда-Вірумаа,county
EE,EE-51,Ярвамаа,county
EE,EE-49,Йиґевамаа,county
EE,EE-59,Ляяне-Вірумаа,county
EE,EE-57,Ляянемаа,county
EE,EE-67,Пярнумаа,county
EE,EE-65,Пилвамаа,county
EE,EE-70,Рапламаа,county
EE,EE-74,Сааремаа,county
EE,EE-78,Тартумаа,county
EE,EE-82,Валгамаа,county
EE,EE-84,Вільяндімаа,county
EE,EE-86,Вирумаа,county
FR,FR-01,Ен,metropolitan department
FR,FR-02,Ена,metropolitan department
FR,FR-03,Альє,metropolitan department
FR,FR-06,Приморські Альпи,metropolitan department
FR,FR-04,Альпи Верхнього Провансу,metropolitan department
FR,FR-A,Ельзас,metropolitan regions
FR,FR-B,Аквітанія,metropolitan regions
FR,FR-08,Арденни,metropolitan department
FR,FR-07,Ардеш,metropolitan department
FR,FR-10,Об,metropolitan department
FR,FR-11,Од,metropolitan department
FR,FR-12,Аверон,metropolitan department
FR,FR-67,Нижній Рейн,metropolitan department
FR,FR-13,Буш-дю-Рон,metropolitan department
FR,FR-E,Бретань,metropolitan regions
FR,FR-14,Кальвадос,metropolitan department
FR,FR-15,Канталь,metropolitan department
FR,FR-G,Шампань-Арденни,metropolitan regions
FR,FR-16,Шаранта,metropolitan department
FR,FR-17,Приморська Шаранта,metropolitan department
FR,FR-18,Шер,metropolitan department
FR,FR-CP,Кліппертон,dependency
FR,FR-19,Коррез,metropolitan department
FR,FR-2A,Південна Корсика,metropolitan department
FR,FR-H,Корсика,metropolitan regions
FR,FR-23,Крез,metropolitan department
FR,FR-79,Де-Севр,metropolitan department
FR,FR-24,Дордонь,metropolitan department
FR,FR-25,Ду,metropolitan department
FR,FR-26,Дром,metropolitan department
FR,FR-91,Ессонн,metropolitan department
FR,FR-27,Ер,metropolitan department
FR,FR-28,Ер і Луар,metropolitan department
FR,FR-29,Фіністер,metropolitan department
FR,FR-I,Франш-Конте,metropolitan regions
FR,FR-30,Гар,metropolitan department
FR,FR-32,Жер,metropolitan department
FR,FR-33,Жиронда,metropolitan department
FR,FR-GP,Гваделупа,overseas regions
FR,FR-68,Верхній Рейн,metropolitan department
FR,FR-2B,Верхня Корсика,metropolitan department
FR,FR-31,Верхня Гаронна,metropolitan department
FR,FR-P,Нижня Нормандія,metropolitan regions
FR,FR-GF,Французька Гвіана,overseas regions
FR,FR-43,Верхня Луара,metropolitan department
FR,FR-52,Верхня Марна,metropolitan department
FR,FR-74,Верхня Савойя,metropolitan department
FR,FR-70,Верхня Сона,metropolitan department
FR,FR-05,Верхні Альпи,metropolitan department
FR,FR-65,Верхні Піренеї,metropolitan department
FR,FR-92,О-де-Сен,metropolitan department
FR,FR-34,Еро,metropolitan department
FR,FR-35,Іль і Вілен,metropolitan department
FR,FR-36,Ендр,metropolitan department
FR,FR-37,Ендр і Луара,metropolitan department
FR,FR-38,Ізер,metropolitan department
FR,FR-39,Юра,metropolitan department
FR,FR-K,Лангедок-Руссільйон,metropolitan regions
FR,FR-41,Луар і Шер,metropolitan department
FR,FR-42,Луара,metropolitan department
FR,FR-44,Атлантична Луара,metropolitan department
FR,FR-45,Луаре,metropolitan department
FR,FR-46,Лот,metropolitan department
FR,FR-47,Лот і Гаронна,metropolitan department
FR,FR-48,Лозер,metropolitan department
FR,FR-49,Мен і Луара,metropolitan department
FR,FR-50,Манш,metropolitan department
FR,FR-51,Марна,metropolitan department
FR,FR-MQ,Мартиніка,overseas regions
FR,FR-53,Майєнн,metropolitan department
FR,FR-YT,Майотта,territorial collectivity
FR,FR-54,Мерт і Мозель,metropolitan department
FR,FR-55,Мез,metropolitan department
FR,FR-N,Південь-Піренеї,metropolitan regions
FR,FR-56,Морбіан,metropolitan department
FR,FR-57,Мозель,metropolitan department
FR,FR-58,Ньєвр,metropolitan department
FR,FR-O,Нор-Па-де-Кале,metropolitan regions
FR,FR-60,Уаза,metropolitan department
FR,FR-61,Орн,metropolitan department
FR,FR-75,Париж,metropolitan department
FR,FR-62,Па-де-Кале,metropolitan department
FR,FR-R,Пеї-де-ла-Луар,metropolitan regions
FR,FR-S,Пікардія,metropolitan regions
FR,FR-T,Пуату-Шарант,metropolitan regions
FR,FR-Q,Верхня Нормандія,metropolitan regions
FR,FR-PF,Французька Полінезія,overseas territory
FR,FR-NC,Нова Каледонія,overseas territory
FR,FR-RE,Реюньйон,overseas regions
FR,FR-U,Прованс-Альпи-Лазурний берег,metropolitan regions
FR,FR-63,Пюї-де-Дом,metropolitan department
FR,FR-64,Атлантичні Піренеї,metropolitan department
FR,FR-66,Східні Піренеї,metropolitan department
FR,FR-69,Рона,metropolitan department
FR,FR-V,Рона-Альпи,metropolitan regions
FR,FR-72,Сарта,metropolitan department
FR,FR-73,Савойя,metropolitan department
FR,FR-71,Сона і Луара,metropolitan department
FR,FR-76,Приморська Сена,metropolitan department
FR,FR-93,Сена-Сен-Дені,metropolitan department
FR,FR-77,Сена і Марна,metropolitan department
FR,FR-80,Сомма,metropolitan department
FR,FR-82,Тарн і Гаронна,metropolitan department
FR,FR-90,Територія Бельфор,metropolitan department
FR,FR-94,Валь-де-Марн,metropolitan department
FR,FR-83,Вар,metropolitan department
FR,FR-84,Воклюз,metropolitan department
FR,FR-85,Вандея,metropolitan department
FR,FR-88,Вогези,metropolitan department
FR,FR-89,Йонна,metropolitan department
FR,FR-78,Івлін,metropolitan department
FR,FR-MF,Сен-Мартен,overseas territorial collectivity
FR,FR-BL,Сен-Бартельмі,overseas territorial collectivity
FR,FR-WF,Волліс і Футуна,overseas territory
DE,DE-BW,Баден-Вюртемберг,state
DE,DE-BY,Баварія,state
DE,DE-BE,Берлін,state
DE,DE-BB,Бранденбург,state
DE,DE-HB,Бремен,state
DE,DE-HH,Гамбург,state
DE,DE-HE,Гессен,state
DE,DE-NI,Нижня Саксонія,state
DE,DE-MV,Мекленбург — Передня Померанія,state
DE,DE-NW,Північний Рейн-Вестфалія,state
DE,DE-RP,Рейнланд-Пфальц,state
DE,DE-SL,Саарланд,state
DE,DE-SN,Вільна держава Саксонія,state
DE,DE-ST,Саксонія-Ангальт,state
DE,DE-SH,Шлезвіг-Гольштейн,state
DE,DE-TH,Тюрингія,state
GH,GH-AH,Ашанті,region
IN,IN-AN,Андаманські і Нікобарські острови,union territory
IN,IN-AP,Андхра-Прадеш,state
IN,IN-AR,Аруначал-Прадеш,state
IN,IN-AS,Ассам,state
IN,IN-BR,Біхар,state
IN,IN-CH,Чандігарх,union territory
IN,IN-CT,Чхаттісґарх,state
IN,IN-DN,Дадра і Нагар-Хавелі,union territory
IN,IN-DD,Даман і Діу,union territory
IN,IN-DL,Делі,union territory
IN,IN-GA,Гоа,state
IN,IN-GJ,Гуджарат,state
IN,IN-HP,Хімачал-Прадеш,state
IN,IN-JK,Джамму й Кашмір,state
IN,IN-JH,Джхаркханд,state
IN,IN-KA,Карнатака,state
IN,IN-KL,Керала,state
