id,name,level
CH-AG,Ааргау,canton
CH-AR,Аппенцелль — Ауссерроден,canton
CH-AI,Аппенцелль — Іннерроден,canton
CH-BL,Базель-Ланд,canton
CH-BS,Базель-Штадт,canton
CH-BE,Берн,canton
CH-FR,Фрібур,canton
CH-GL,Гларус,canton
CH-GR,Граубюнден,canton
CH-JU,Юра,canton
CH-NE,Невшатель,canton
CH-NW,Нідвальден,canton
CH-OW,Обвальден,canton
CH-SH,Шаффгаузен,canton
CH-SO,Золотурн,canton
CH-TG,Тургау,canton
CH-TI,Тічино,canton
CH-UR,Урі,canton
CH-VS,Вале,canton
CH-VD,Во,canton
CH-ZG,Цуг,canton
CH-GE,Женева,canton
CH-LU,Люцерн,canton
CH-ZH,Цюрих,canton
