id,name,level
ES-C,Ла-Корунья,province
ES-AB,Альбасете,province
ES-A,Аліканте,province
ES-AL,Альмерія,province
ES-AN,Андалусія,
ES-AS,Астурія,autonomous community
ES-BA,Бадахос,province
ES-IB,Балеарські острови,autonomous community
ES-B,Барселона,province
ES-BU,Бургос,province
ES-CA,Кадіс,province
ES-S,Кантабрія,province
ES-CM,Кастилія — Ла-Манча,autonomous community
ES-CL,Кастилія-і-Леон,autonomous community
ES-CT,Каталонія,autonomous community
ES-CE,Сеута,autonomous city
ES-CR,Сьюдад-Реаль,province
ES-CU,Куенка,province
ES-CO,Кордова,province
ES-EX,Естремадура,autonomous community
ES-SS,Гіпускоа,province
ES-GI,Жирона,province
ES-GR,Гранада,province
ES-GU,Гвадалахара,province
ES-H,Уельва,province
ES-HU,Уеска,province
ES-GC,Лас-Пальмас-де-Ґран-Канарія,province
ES-LE,Леон,province
ES-L,Льєйда,province
ES-LU,Луґо,province
ES-MD,Мадрид,autonomous community
ES-ML,Мелілья,autonomous city
ES-MC,Мурсія,autonomous community
ES-MA,Малага,province
ES-NC,Наварра,autonomous community
ES-OR,Оренсе,province
ES-P,Паленсія,province
ES-PO,Понтеведра,province
ES-SA,Саламанка,province
ES-TF,Санта-Крус-де-Тенеріфе,province
ES-SG,Сеговія,province
ES-SE,Севілья,province
ES-SO,Сорія,province
ES-T,Таррагона,province
ES-TE,Теруель,province
ES-V,Валенсія,province
ES-VC,Валенсія,autonomous community
ES-VA,Вальядолід,province
ES-Z,Сарагоса,province
ES-VI,Алава,province
