id,name,level
IN-AN,Андаманські і Нікобарські острови,union territory
IN-AP,Андхра-Прадеш,state
IN-AR,Аруначал-Прадеш,state
IN-AS,Ассам,state
IN-BR,Біхар,state
IN-CH,Чандігарх,union territory
IN-CT,Чхаттісґарх,state
IN-DN,Дадра і Нагар-Хавелі,union territory
IN-DD,Даман і Діу,union territory
IN-DL,Делі,union territory
IN-GA,Гоа,state
IN-GJ,Гуджарат,state
IN-HP,Хімачал-Прадеш,state
IN-JK,Джамму й Кашмір,state
IN-JH,Джхаркханд,state
IN-KA,Карнатака,state
IN-KL,Керала,state
IN-LD,Лакшадвіп,union territory
IN-MH,Махараштра,state
IN-MN,Маніпур,state
IN-ML,Меґхалая,state
IN-MZ,Мізорам,state
IN-NL,Нагаленд,state
IN-OR,Орісса,state
IN-PY,Пудучеррі,union territory
IN-PB,Пенджаб,state
IN-RJ,Раджастхан,state
IN-SK,Сіккім,state
IN-TN,Тамілнаду,state
IN-TR,Тріпура,state
IN-UP,Уттар-Прадеш,state
IN-UT,Уттаракханд,state
IN-WB,Західний Бенгал,state
