id,name,level
IT-65,Абруццо,region
IT-AG,Агрідженто,province
IT-AL,Алессандрія,province
IT-AN,Анкона,province
IT-AO,Аоста,province
IT-AR,Ареццо,province
IT-AP,Асколі-Пічено,province
IT-AT,Асті,province
IT-AV,Авелліно,province
IT-BA,Барі,province
IT-77,Базиліката,region
IT-BL,Беллуно,province
IT-BN,Беневенто,province
IT-BG,Бергамо,province
IT-BO,Болонья,province
IT-BZ,Больцано,province
IT-BS,Брешія,province
IT-BR,Бріндізі,province
IT-CA,Кальярі,province
IT-78,Калабрія,region
IT-CL,Кальтаніссетта,province
IT-72,Кампанія,region
IT-CB,Кампобассо,province
IT-CE,Казерта,province
IT-CT,Катанія,province
IT-CZ,Катандзаро,province
IT-CO,Комо,province
IT-CS,Козенца,province
IT-CR,Кремона,province
IT-KR,Кротоне,province
IT-CN,Кунео,province
IT-45,Емілія-Романья,region
IT-EN,Енна,province
IT-FM,Фермо,province
IT-FE,Феррара,province
IT-FI,Флоренція,province
IT-FG,Фоджа,province
IT-FO,Форлі,
IT-36,Фріулі-Венеція-Джулія,region
IT-FR,Фрозіноне,province
IT-GE,Генуя,province
IT-GO,Горіція,province
IT-GR,Гроссето,province
IT-IM,Імперія,province
IT-IS,Ізернія,province
IT-BT,Провінція Барлетта-Андрія-Трані,province
IT-CI,Провінція Карбонія-Іглезіас,province
IT-FC,Провінція Форлі-Чезена,province
IT-75,Апулія,region
IT-SP,Ла-Спеція,province
IT-62,Лаціо,region
IT-LE,Лечче,province
IT-LC,Лекко,province
IT-42,Лігурія,region
IT-LI,Ліворно,province
IT-LO,Лоді,province
IT-25,Ломбардія,region
IT-LU,Лукка,province
IT-MC,Мачерата,province
IT-MN,Мантуя,province
IT-57,Марке,region
IT-MT,Матера,province
IT-ME,Мессіна,province
IT-MI,Мілан,province
IT-MO,Модена,province
IT-67,Молізе,region
IT-NA,Неаполь,province
IT-NO,Новара,province
IT-NU,Нуоро,province
IT-OR,Ористано,province
IT-PD,Падуя,province
IT-PA,Палермо,province
IT-PR,Парма,province
IT-PV,Павія,province
IT-PG,Перуджа,province
IT-PE,Пескара,province
IT-PI,Піза,province
IT-PT,Пістоя,province
IT-PN,Порденоне,province
IT-PZ,Потенца,province
IT-PO,Прато,province
IT-MS,Провінція Масса-Каррара,province
IT-MA,Провінція Медіо-Кампідано,province
IT-MB,Провінція Монца і Бріанца,province
IT-OG,Провінція Ольястра,province
IT-OL,Провінція Ольбія-Темпіо,province
IT-PU,Провінція Пезаро і Урбіно,province
IT-RG,Рагуза,province
IT-RA,Равенна,province
IT-RC,Реджо-Калабрія,province
IT-RE,Реджо-нель-Емілія,province
IT-VB,Провінція Вербано-Кузіо-Оссола,province
IT-RI,Рієті,province
IT-RN,Ріміні,province
IT-RM,Рома,province
IT-RO,Ровіго,province
IT-SA,Салерно,province
IT-88,Сардинія,region
IT-SS,Сассарі,province
IT-SV,Савона,province
IT-82,Сицилія,region
IT-SI,Сієна,province
IT-SO,Сондріо,province
IT-TA,Таранто,province
IT-TE,Терамо,province
IT-TR,Терні,province
IT-TP,Трапані,province
IT-32,Трентіно-Альто-Адідже,region
IT-TN,Тренто,province
IT-TV,Тревізо,province
IT-TS,Трієст,province
IT-TO,Турин,province
IT-52,Тоскана,region
IT-UD,Удіне,province
IT-55,Умбрія,region
IT-VA,Варезе,province
IT-34,Венето,region
IT-VE,Венеція,province
IT-VC,Верчеллі,province
IT-VR,Верона,province
IT-VV,Вібо-Валентія,province
IT-VI,Віченца,province
IT-VT,Вітербо,province
