id,name,level
PL-WP,Великопольське воєводство,voivodship
PL-KP,Куявсько-Поморське воєводство,voivodship
PL-MA,Малопольське воєводство,voivodship
PL-DS,Нижньосілезьке воєводство,voivodship
PL-LU,Люблінське воєводство,voivodship
PL-LB,Любуське воєводство,voivodship
PL-MZ,Мазовецьке воєводство,voivodship
PL-OP,Опольське воєводство,voivodship
PL-PK,Підкарпатське воєводство,voivodship
PL-PD,Підляське воєводство,voivodship
PL-PM,Поморське воєводство,voivodship
PL-SL,Сілезьке воєводство,voivodship
PL-WN,Вармінсько-Мазурське воєводство,voivodship
PL-ZP,Західнопоморське воєводство,voivodship
PL-SK,Свентокшиське воєводство,voivodship
