id,name,level
RO-AR,Арад,county
RO-AG,Арг,county
RO-BC,Бакеу,county
RO-BN,Бистриця-Несеуд,county
RO-BT,Ботошані,county
RO-BV,Брашов,county
RO-BR,Браїла,county
RO-B,Бухарест,city
RO-BZ,Бузеу,county
RO-CS,Караш-Северін,county
RO-CJ,Клуж-Напока,county
RO-CT,Констанца,county
RO-CV,Ковасна,county
RO-CL,Келераші,county
RO-DJ,Долж,county
RO-DB,Димбовіца,county
RO-GL,Галац,county
RO-GR,Джурджу,county
RO-GJ,Горж,county
RO-HR,Харгіта,county
RO-HD,Хунедоара,county
RO-IS,Ясси,county
RO-IF,Ілфов,county
RO-MM,Мармарощина,county
RO-MH,Мехедінць,county
RO-MS,Муреш,county
RO-NT,Нямц,county
RO-SM,Сату-Маре,county
RO-SB,Сібіу,county
RO-SV,Сучава,county
RO-TR,Телеорман,county
RO-TM,Тиміш,county
RO-TL,Тульча,county
RO-VS,Васлуй,county
RO-VL,Вилчя,county
