id,name,level
UA-71,Черкаська область,region
UA-74,Чернігівська область,region
UA-77,Чернівецька область,region
UA-43,Кримський півострів,autonomous republic
UA-12,Дніпропетровська область,region
UA-14,Донецька область,region
UA-26,Івано-Франківська область,region
UA-63,Харківська область,region
UA-65,Херсонська область,region
UA-68,Хмельницька область,region
UA-30,Київ,region
UA-32,Київська область,region
UA-35,Кіровоградська область,region
UA-09,Луганська область,region
UA-46,Львівська область,region
UA-48,Миколаївська область,region
UA-51,Одеська область,region
UA-53,Полтавська область,region
UA-56,Рівненська область,region
UA-40,Севастополь,region
UA-59,Сумська область,region
UA-61,Тернопільська область,region
UA-05,Вінницька область,region
UA-07,Волинська область,region
UA-21,Закарпатська область,region
UA-23,Запорізька область,region
UA-18,Житомирська область,region
