Ла-Корунья (ES-C)
Альбасете (ES-AB)
Аліканте (ES-A)
Альмерія (ES-AL)
Андалусія (ES-AN)
Астурія (ES-AS)
Бадахос (ES-BA)
Балеарські острови (ES-IB)
Барселона (ES-B)
Бургос (ES-BU)
Кадіс (ES-CA)
Кантабрія (ES-S)
Кастилія — Ла-Манча (ES-CM)
Кастилія-і-Леон (ES-CL)
Каталонія (ES-CT)
Сеута (ES-CE)
Сьюдад-Реаль (ES-CR)
Куенка (ES-CU)
Кордова (ES-CO)
Естремадура (ES-EX)
Гіпускоа (ES-SS)
Жирона (ES-GI)
Гранада (ES-GR)
Гвадалахара (ES-GU)
Уельва (ES-H)
Уеска (ES-HU)
Лас-Пальмас-де-Ґран-Канарія (ES-GC)
Леон (ES-LE)
Льєйда (ES-L)
Луґо (ES-LU)
Мадрид (ES-MD)
Мелілья (ES-ML)
Мурсія (ES-MC)
Малага (ES-MA)
Наварра (ES-NC)
Оренсе (ES-OR)
Паленсія (ES-P)
Понтеведра (ES-PO)
Саламанка (ES-SA)
Санта-Крус-де-Тенеріфе (ES-TF)
Сеговія (ES-SG)
Севілья (ES-SE)
Сорія (ES-SO)
Таррагона (ES-T)
Теруель (ES-TE)
Валенсія (ES-V)
Валенсія (ES-VC)
Вальядолід (ES-VA)
Сарагоса (ES-Z)
Алава (ES-VI)
