Абруццо (IT-65)
Агрідженто (IT-AG)
Алессандрія (IT-AL)
Анкона (IT-AN)
Аоста (IT-AO)
Ареццо (IT-AR)
Асколі-Пічено (IT-AP)
Асті (IT-AT)
Авелліно (IT-AV)
Барі (IT-BA)
Базиліката (IT-77)
Беллуно (IT-BL)
Беневенто (IT-BN)
Бергамо (IT-BG)
Болонья (IT-BO)
Больцано (IT-BZ)
Брешія (IT-BS)
Бріндізі (IT-BR)
Кальярі (IT-CA)
Калабрія (IT-78)
Кальтаніссетта (IT-CL)
Кампанія (IT-72)
Кампобассо (IT-CB)
Казерта (IT-CE)
Катанія (IT-CT)
Катандзаро (IT-CZ)
Комо (IT-CO)
Козенца (IT-CS)
Кремона (IT-CR)
Кротоне (IT-KR)
Кунео (IT-CN)
Емілія-Романья (IT-45)
Енна (IT-EN)
Фермо (IT-FM)
Феррара (IT-FE)
Флоренція (IT-FI)
Фоджа (IT-FG)
Форлі (IT-FO)
Фріулі-Венеція-Джулія (IT-36)
Фрозіноне (IT-FR)
Генуя (IT-GE)
Горіція (IT-GO)
Гроссето (IT-GR)
Імперія (IT-IM)
Ізернія (IT-IS)
Провінція Барлетта-Андрія-Трані (IT-BT)
Провінція Карбонія-Іглезіас (IT-CI)
Провінція Форлі-Чезена (IT-FC)
Апулія (IT-75)
Ла-Спеція (IT-SP)
Лаціо (IT-62)
Лечче (IT-LE)
Лекко (IT-LC)
Лігурія (IT-42)
Ліворно (IT-LI)
Лоді (IT-LO)
Ломбардія (IT-25)
Лукка (IT-LU)
Мачерата (IT-MC)
Мантуя (IT-MN)
Марке (IT-57)
Матера (IT-MT)
Мессіна (IT-ME)
Мілан (IT-MI)
Модена (IT-MO)
Молізе (IT-67)
Неаполь (IT-NA)
Новара (IT-NO)
Нуоро (IT-NU)
Ористано (IT-OR)
Падуя (IT-PD)
Палермо (IT-PA)
Парма (IT-PR)
Павія (IT-PV)
Перуджа (IT-PG)
Пескара (IT-PE)
Піза (IT-PI)
Пістоя (IT-PT)
Порденоне (IT-PN)
Потенца (IT-PZ)
Прато (IT-PO)
Провінція Масса-Каррара (IT-MS)
Провінція Медіо-Кампідано (IT-MA)
Провінція Монца і Бріанца (IT-MB)
Провінція Ольястра (IT-OG)
Провінція Ольбія-Темпіо (IT-OL)
Провінція Пезаро і Урбіно (IT-PU)
Рагуза (IT-RG)
Равенна (IT-RA)
Реджо-Калабрія (IT-RC)
Реджо-нель-Емілія (IT-RE)
Провінція Вербано-Кузіо-Оссола (IT-VB)
Рієті (IT-RI)
Ріміні (IT-RN)
Рома (IT-RM)
Ровіго (IT-RO)
Салерно (IT-SA)
Сардинія (IT-88)
Сассарі (IT-SS)
Савона (IT-SV)
Сицилія (IT-82)
Сієна (IT-SI)
Сондріо (IT-SO)
Таранто (IT-TA)
Терамо (IT-TE)
Терні (IT-TR)
Трапані (IT-TP)
Трентіно-Альто-Адідже (IT-32)
Тренто (IT-TN)
Тревізо (IT-TV)
Трієст (IT-TS)
Турин (IT-TO)
Тоскана (IT-52)
Удіне (IT-UD)
Умбрія (IT-55)
Варезе (IT-VA)
Венето (IT-34)
Венеція (IT-VE)
Верчеллі (IT-VC)
Верона (IT-VR)
Вібо-Валентія (IT-VV)
Віченца (IT-VI)
Вітербо (IT-VT)
