Арад (RO-AR)
Арг (RO-AG)
Бакеу (RO-BC)
Бистриця-Несеуд (RO-BN)
Ботошані (RO-BT)
Брашов (RO-BV)
Браїла (RO-BR)
Бухарест (RO-B)
Бузеу (RO-BZ)
Караш-Северін (RO-CS)
Клуж-Напока (RO-CJ)
Констанца (RO-CT)
Ковасна (RO-CV)
Келераші (RO-CL)
Долж (RO-DJ)
Димбовіца (RO-DB)
Галац (RO-GL)
Джурджу (RO-GR)
Горж (RO-GJ)
Харгіта (RO-HR)
Хунедоара (RO-HD)
Ясси (RO-IS)
Ілфов (RO-IF)
Мармарощина (RO-MM)
Мехедінць (RO-MH)
Муреш (RO-MS)
Нямц (RO-NT)
Сату-Маре (RO-SM)
Сібіу (RO-SB)
Сучава (RO-SV)
Телеорман (RO-TR)
Тиміш (RO-TM)
Тульча (RO-TL)
Васлуй (RO-VS)
Вилчя (RO-VL)
